CD_A,PER,ENT,CON,V_SEL,N_HOG,N_REN,EST_DIS,UPM_DIS,PAR,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,NIV,GRA,A_ESC,ELEGIDO,REELE,R_DEF,FACTOR,FAC18
14,1117,"	01",40018,1,1,"	03","	035","	00001",3,2,51,14,11,1966,4,3,,1,,"	01",2536,10144
14,1117,"	01",40018,1,1,"	02","	035","	00001",2,2,71,15,10,1946,2,3,,,,"	01",2536,
14,1117,"	01",40018,2,1,"	01","	035","	00001",1,2,47,21,12,1969,2,6,,1,,"	01",2536,7608
14,1117,"	01",40018,2,1,"	02","	035","	00001",3,1,33,10,9,1984,3,3,,,,"	01",2536,
14,1117,"	01",40018,2,1,"	03","	035","	00001",4,2,23,17,7,1994,3,3,,,,"	01",2536,
14,1117,"	01",40018,2,1,"	04","	035","	00001",4,1,1,1,11,2016,,,,,,"	01",2536,
14,1117,"	01",40018,4,1,"	01","	035","	00001",1,1,72,20,9,1945,2,6,,1,,"	01",2536,5072
14,1117,"	01",40018,4,1,"	02","	035","	00001",2,2,66,17,5,1951,2,5,,,,"	01",2536,
14,1117,"	01",40018,1,1,"	04","	035","	00001",3,1,27,14,11,1990,6,3,3,,,"	01",2536,
14,1117,"	01",40018,1,1,"	01","	035","	00001",1,1,78,18,2,1939,2,4,,,,"	01",2536,
14,1117,"	01",40018,5,1,"	02","	035","	00001",3,2,47,5,5,1970,3,3,,1,,"	01",2536,5072
14,1117,"	01",40018,5,1,"	01","	035","	00001",1,2,67,23,4,1950,,,,,,"	01",2536,
14,1117,"	01",40018,3,1,"	03","	035","	00001",3,2,3,28,1,2014,,,,,,"	01",2536,
14,1117,"	01",40018,3,1,"	02","	035","	00001",2,2,29,10,9,1988,4,3,,,,"	01",2536,
14,1117,"	01",40018,3,1,"	01","	035","	00001",1,1,27,20,1,1990,3,3,,1,,"	01",2536,5072
14,1117,"	01",40034,1,1,"	03","	035","	00002",3,1,18,15,7,1999,4,1,,1,,"	01",2396,7188
14,1117,"	01",40034,2,1,"	01","	035","	00002",1,1,35,15,4,1982,3,3,,1,,"	01",2396,4792
14,1117,"	01",40034,1,1,"	05","	035","	00002",3,1,6,26,6,2011,1,3,,,,"	01",2396,
14,1117,"	01",40034,5,1,"	01","	035","	00002",1,1,87,15,9,1930,,,,,1,"	01",2396,
14,1117,"	01",40034,5,1,"	02","	035","	00002",2,2,83,19,3,1934,,,,,1,"	01",2396,
14,1117,"	01",40034,5,1,"	03","	035","	00002",3,1,65,4,9,1952,7,5,3,1,,"	01",2396,9584
14,1117,"	01",40034,5,1,"	04","	035","	00002",3,2,54,4,4,1963,7,1,3,,,"	01",2396,
14,1117,"	01",40034,4,1,"	03","	035","	00002",3,2,26,15,2,1991,3,3,,,,"	01",2396,
