CD_A,PER,ENT,CON,V_SEL,N_HOG,AGEB,UPM,PRO_VIV,R_PRE,FCH_PRE,R_DEF,FCH_DEF,P1,P2,P3,P4,R_INF,R_ELE,FAC
14,1117,"	01",40018,1,1,206-6,"	0100656","	0066","	01",14/11/2017,"	01",15/11/2017,4,1,,,"	03","	03",2536
14,1117,"	01",40018,5,1,206-6,"	0100656","	0041","	01",22/11/2017,"	01",27/11/2017,2,1,,,"	02","	02",2536
14,1117,"	01",40018,4,1,206-6,"	0100656","	0022","	01",14/11/2017,"	01",15/11/2017,2,1,,,"	01","	01",2536
14,1117,"	01",40018,2,1,206-6,"	0100656","	0092","	01",14/11/2017,"	01",15/11/2017,4,1,,,"	01","	01",2536
14,1117,"	01",40018,3,1,206-6,"	0100656","	0123","	01",14/11/2017,"	01",28/11/2017,3,1,,,"	02","	01",2536
14,1117,"	01",40034,1,1,227-8,"	0100794","	0002","	01",20/11/2017,"	01",21/11/2017,5,1,,,"	02","	03",2396
14,1117,"	01",40034,4,1,227-8,"	0100794","	0072","	01",15/11/2017,"	01",17/11/2017,6,1,,,"	01","	01",2396
14,1117,"	01",40034,3,1,227-8,"	0100794","	0051","	01",15/11/2017,"	01",17/11/2017,2,1,,,"	02","	02",2396
14,1117,"	01",40034,5,1,227-8,"	0100794","	0094","	01",17/11/2017,"	01",20/11/2017,4,1,,,"	03","	03",2396
14,1117,"	01",40034,2,1,227-8,"	0100794","	0023","	01",15/11/2017,"	01",22/11/2017,5,1,,,"	02","	01",2396
14,1117,"	01",40035,4,1,262-A,"	0101075","	0027","	01","	09/11/2017","	01",14/11/2017,2,1,,,"	01","	02",3362
14,1117,"	01",40035,5,1,262-A,"	0101075","	0051","	01","	09/11/2017","	01",14/11/2017,4,1,,,"	02","	03",3362
14,1117,"	01",40035,2,1,262-A,"	0101075","	0096","	01","	09/11/2017","	01",14/11/2017,2,1,,,"	01","	01",3362
14,1117,"	01",40035,1,1,262-A,"	0101075","	0075","	01","	09/11/2017","	01",14/11/2017,4,1,,,"	02","	02",3362
14,1117,"	01",40035,3,1,262-A,"	0101075","	0003","	01","	09/11/2017","	01",14/11/2017,4,1,,,"	03","	02",3362
14,1117,"	01",40038,4,1,389-7,"	0101924","	0010","	01","	07/11/2017","	01","	09/11/2017",4,1,,,"	02","	03",2960
14,1117,"	01",40038,5,1,389-7,"	0101924","	0035","	07",13/11/2017,"	07","	04/12/2017",,,,,,,
14,1117,"	01",40038,3,1,389-7,"	0101924","	0068","	01","	08/11/2017","	01","	09/11/2017",3,1,,,"	01","	01",2960
14,1117,"	01",40038,2,1,389-7,"	0101924","	0041","	01","	07/11/2017","	01","	09/11/2017",4,1,,,"	02","	02",2960
14,1117,"	01",40038,1,1,389-7,"	0101924","	0107","	01","	07/11/2017","	01","	09/11/2017",1,,,,"	01","	01",2960
14,1117,"	01",40050,4,1,205-1,"	0100638","	0043","	01",16/11/2017,"	01",21/11/2017,5,1,,,"	02","	01",2407
14,1117,"	01",40050,1,1,205-1,"	0100638","	0099","	01",16/11/2017,"	01",27/11/2017,3,1,,,"	02","	01",2407
14,1117,"	01",40050,2,1,205-1,"	0100638","	0120","	01",20/11/2017,"	01",21/11/2017,2,1,,,"	01","	02",2407
14,1117,"	01",40050,5,1,205-1,"	0100638","	0064","	01",16/11/2017,"	01",17/11/2017,5,1,,,"	04","	04",2407
14,1117,"	01",40050,3,1,205-1,"	0100638","	0016","	01",20/11/2017,"	01",22/11/2017,5,1,,,"	01","	02",2407
14,1117,"	01",40056,1,1,286-5,"	0101300","	0013","	01",10/11/2017,"	01",14/11/2017,2,1,,,"	01","	01",2564
14,1117,"	01",40056,2,1,286-5,"	0101300","	0037","	01",10/11/2017,"	01",14/11/2017,6,1,,,"	02","	02",2564
14,1117,"	01",40056,3,1,286-5,"	0101300","	0055","	01",10/11/2017,"	01",14/11/2017,3,1,,,"	02","	02",2564
14,1117,"	01",40056,4,1,286-5,"	0101300","	0076","	01",10/11/2017,"	01",14/11/2017,5,1,,,"	02","	02",2564
14,1117,"	01",40056,5,1,286-5,"	0101300","	0097","	01",13/11/2017,"	01",14/11/2017,5,1,,,"	02","	02",2564
14,1117,"	01",40061,4,1,235-2,"	0100874","	0023","	01","	09/11/2017","	01",14/11/2017,5,1,,,"	03","	03",3075
14,1117,"	01",40061,1,1,235-2,"	0100874","	0074","	07","	04/12/2017","	07","	04/12/2017",,,,,,,
14,1117,"	01",40061,5,1,235-2,"	0100874","	0054","	01","	08/11/2017","	01",14/11/2017,5,1,,,"	02","	02",3075
14,1117,"	01",40061,2,1,235-2,"	0100874","	0094","	01","	07/11/2017","	01","	08/11/2017",4,1,,,"	02","	02",3075
14,1117,"	01",40061,3,1,235-2,"	0100874","	0039","	01",17/11/2017,"	01",20/11/2017,4,1,,,"	01","	01",3075
14,1117,"	01",40096,3,1,388-2,"	0101908","	0129","	01",20/11/2017,"	01",21/11/2017,4,1,,,"	01","	02",2331
14,1117,"	01",40096,4,1,388-2,"	0101908","	0319","	01",20/11/2017,"	01",21/11/2017,3,1,,,"	01","	02",2331
14,1117,"	01",40096,2,1,388-2,"	0101908","	0083","	01",20/11/2017,"	01",21/11/2017,1,,,,"	01","	01",2331
14,1117,"	01",40096,1,1,388-2,"	0101908","	0020","	01",10/11/2017,"	01",14/11/2017,2,1,,,"	01","	01",2331
14,1117,"	01",40096,5,1,388-2,"	0101908","	0263","	01",20/11/2017,"	01",21/11/2017,5,1,,,"	01","	01",2331
14,1117,"	01",40100,2,1,168-9,"	0100530","	0053","	01",13/11/2017,"	01",14/11/2017,1,,,,"	01","	01",2507
14,1117,"	01",40100,5,1,168-9,"	0100530","	0084","	01","	01/12/2017","	01","	04/12/2017",4,1,,,"	02","	03",2507
14,1117,"	01",40100,4,1,168-9,"	0100530","	0016","	01",13/11/2017,"	01",15/11/2017,4,1,,,"	02","	03",2507
14,1117,"	01",40100,3,1,168-9,"	0100530","	0073","	01",13/11/2017,"	01",22/11/2017,3,1,,,"	02","	02",2507
14,1117,"	01",40100,1,1,168-9,"	0100530","	0030","	01",24/11/2017,"	01",27/11/2017,1,,,,"	01","	01",2507
14,1117,"	01",40101,5,1,257-9,"	0101032","	0096","	01","	09/11/2017","	01",15/11/2017,3,1,,,"	02","	01",2571
14,1117,"	01",40101,4,1,257-9,"	0101032","	0008","	01",13/11/2017,"	01",15/11/2017,2,1,,,"	02","	02",2571
14,1117,"	01",40101,3,1,257-9,"	0101032","	0069","	01","	09/11/2017","	01",15/11/2017,4,1,,,"	01","	03",2571
14,1117,"	01",40101,2,1,257-9,"	0101032","	0031","	01","	09/11/2017","	01",15/11/2017,5,1,,,"	05","	02",2571
14,1117,"	01",40101,1,1,257-9,"	0101032","	0048","	01","	09/11/2017","	01",14/11/2017,2,1,,,"	01","	01",2571
14,1117,"	01",40128,4,1,372-1,"	0101777","	0042","	01","	07/11/2017","	01","	08/11/2017",6,1,,,"	01","	01",2812
